"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P1607S1";"P1607S2";"P1607S3";"P1607S6";"P1607S4";"P1607S5";"P1283S1";"P1283S2";"P1283S3";"P1283S4";"P1283S5";"P1283S6";"P597";"P1197S1";"P1197S2";"P1197S3";"P1197S4";"P1197S5";"P1197S7";"P1197S6";"P1197S8";"P1196S1";"P1196S2";"P1196S3";"P1196S4";"P1196S5";"P1196S6";"P1196S8";"P1196S7";"P1196S9";"P598";"P599S3";"P599S4";"P599S5";"P1194S1";"P1194S2";"P1194S5";"P1194S3";"P1194S4";"P1194S6";"P1194S7";"P1193";"P1192";"P1955";"P529";"P1191";"P1187";"P600";"P1107";"P1608";"P1609";"P1106"
502719;237;1;1;1;357.649814039655;1;;;;;;1;;;;;;2;;;;1;;;;;1;;;;;;;;;2;2;2;2;1;;;;;;;5;4;"1";2;;2;;;;;3
502743;237;2;1;2;60.6445571552112;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;4;6;"1";2;;2;;;;;6
502749;237;3;1;3;66.8234946535406;;;;1;;;1;;;;;;8;1;;;;;;;;1;1;;;;1;1;;;2;1;1;2;1;;;;;;;5;6;"1";2;;2;;;;;4
502765;237;2;1;2;70.5264229504731;;;;;;2;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;1;;;;;;;4;4;"1";2;;2;;;;;10
502778;237;1;1;1;56.2898647300215;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;1;;;;;;1;4;"1";2;;2;;;;;6
502782;237;6;1;6;66.5937759600724;;;;1;;;1;;;;;;8;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;5;4;"1";2;;2;;;;;6
502806;237;1;1;1;63.6394487324689;;;;1;;;1;;;;;;6;;;;;;;1;;;;;;;;;2;;;2;2;2;;1;;;;;;5;4;"1";2;;2;;;;;8
502809;237;1;1;1;64.679761600995;;;;;;2;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;;;;;;;9;;2;"1";2;;2;;;;;6
502916;237;1;1;1;62.5054254262354;;;;1;;;1;;;;;;6;;;;;;;;2;;;;;;;;2;;;2;2;2;;1;;;;;;5;4;"1";2;;2;;;;;6
502991;237;1;1;1;1026.12080181469;;;;1;;;1;;;;;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;7;1;"2";2;;2;;;;;7
503362;237;1;1;1;1980.33714711627;;1;;;;;1;;;;;;2;1;;;;;;;;1;;;;;;;;;1;2;2;2;1;;;;;;;7;4;"2";2;;2;;;;;1
503388;237;1;1;1;994.87059844507;;;;;;2;1;;;;;;6;1;;;;;;;;;;;;;;;2;;;2;2;2;;1;;;;;;4;4;"1";2;;2;;;;;3
503397;237;2;1;2;971.893378795103;;;;1;;;;;;;1;;8;;;;;;;;2;;;;;;;;;3;;2;2;2;1;;;;;;;9;2;"2";2;;2;;;;;3
