"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P553";"P553S1";"P1379";"P1390S1";"P1390S2";"P1390S3";"P1390S5";"P1390S4";"P1389";"P1386";"P1385";"P1380S1";"P1380S2";"P1380S3";"P1380S5";"P1380S6";"P1367S1";"P1367S4";"P1367S5";"P1367S2";"P1367S3";"P554";"P555S1";"P555S2";"P555S7";"P555S3";"P555S4";"P555S5";"P555S6";"P555S8";"P555S9";"P555S10";"P555S11";"P1592S1";"P1592S2";"P1592S3";"P1592S4";"P1228";"P557";"P558";"P1119";"P1593";"P1591";"P1214";"P1368"
503269;237;1;1;1;383.20596646415;12;1;6;2;1;2;2;2;2;1;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
503274;237;1;1;1;757.089865841034;12;1;6;1;1;2;2;2;3;3;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
503275;237;1;1;1;652.522422363552;11;1;2;1;2;2;2;2;2;2;2;;;;;;2;2;2;2;2;2;;;;;;;;;;;;2;2;2;2;2;;;;;;3;2
503309;237;1;1;1;452.339324795689;9;2;6;2;1;2;2;2;1;9;1;2;2;2;2;2;2;1;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
503335;237;1;1;1;449.658539263531;2;1;3;2;1;2;2;2;6;2;1;1;2;2;2;2;2;2;2;2;1;2;;;;;;;;;;;;2;1;2;2;1;3;1;4;2;3;;2
503350;237;1;1;1;1085.06255805645;12;2;1;1;2;2;1;2;3;1;2;;;;;;2;2;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
503411;237;1;1;1;1153.8823424599;3;1;1;2;1;2;1;2;4;1;2;;;;;;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;3;2
503423;237;1;1;1;931.35675791198;5;1;1;1;2;1;2;2;6;4;2;;;;;;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;1;;2
503425;237;1;1;1;940.315146208638;5;1;1;1;2;2;2;2;1;2;1;2;2;2;2;2;2;1;2;2;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
503444;237;1;1;1;910.303825854742;5;1;1;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;1;2;2;2;;;;;;3;2
