"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P2069";"P2070";"P1962";"P1964S1";"P1964S2";"P1964S3";"P1964S4";"P1964S5";"P1964S6";"P1964S7";"P1964S8";"P1965";"P1966";"P2071";"P1967";"P1319S1";"P1319S2";"P1319S3";"P1319S5";"P1319S6";"P2072S1";"P2072S2";"P2072S3";"P2072S4";"P2073";"P560";"P2074";"P2075";"P1605";"P1606";"P2076";"P1968"
524740;237;1;1;1;1347.97119444473;1;5;1;;;1;;;;;;3;2;9;2;;;;;;2;2;2;2;2;;;;;;3;2
525028;237;1;1;1;638.499607250004;1;10;1;;;;;;1;;;3;2;3;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
525229;237;1;1;1;2186.45802674515;1;10;1;;1;;;;;;;9;3;9;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
525230;237;1;1;1;2061.97145916145;1;12;1;;1;;;;;;;3;5;4;1;2;2;2;2;2;2;;2;2;1;1;1;5;1;;;1
525231;237;1;1;1;1767.26615874086;1;12;1;;;;;;1;;;3;2;2;2;;;;;;2;;2;2;2;;;;;;8;2
525313;237;1;1;1;191.447996589896;1;2;1;;;;;;1;;;3;1;4;2;;;;;;2;;2;2;2;;;;;;7;2
525602;237;1;1;1;159.937237638176;1;8;1;;;;;;1;;;3;2;1;2;;;;;;2;;2;2;2;;;;;;6;2
525615;237;1;1;1;130.293756930878;2;1;1;1;;;;;;;;3;6;3;2;;;;;;2;;2;2;1;2;2;5;1;;;2
526575;237;1;1;1;259.442816233501;2;4;1;;;;;;1;;;1;1;4;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
526900;237;1;1;1;45.5866552943701;1;12;2;;;;;;1;;;3;2;4;1;1;2;2;2;2;2;2;2;2;2;;;;;;6;2
526933;237;1;1;1;1445.83043504795;1;6;2;1;;;;;;;;3;3;4;1;2;2;2;2;2;1;2;2;2;1;1;1;2;2;3;;2
526955;237;1;1;1;2647.21808553768;1;12;1;;;;;;1;;;3;1;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
527074;237;1;1;1;2065.58994784948;1;9;2;1;;;;;;;;3;2;4;2;;;;;;2;2;2;1;1;1;1;2;1;;;1
527152;237;1;1;1;198.492896374108;1;5;1;;;;;;1;;;3;1;3;2;;;;;;2;;2;2;1;1;1;5;2;1;;2
527177;237;1;1;1;639.549665596824;1;4;1;;;;;;1;;;3;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
527208;237;1;1;1;6632.35885668238;1;9;1;;;;;;1;;;2;1;3;2;;;;;;2;2;2;2;2;;;;;;1;2
527326;237;1;1;1;325.859241064019;1;3;1;1;;;;;;;;3;4;9;1;2;2;2;2;2;2;1;2;2;1;1;1;4;1;;;2
527417;237;1;1;1;1757.49451346656;2;11;1;;;1;;;;;;3;2;1;1;2;2;2;2;2;2;;2;2;2;;;;;;7;2
527939;237;1;1;1;329.900964588939;1;3;1;1;;;;;;;;3;4;4;1;2;2;2;2;2;2;;2;1;2;;;;;;3;1
528083;237;1;1;1;72.7276082057006;1;6;1;;;;;;1;;;3;2;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
529213;237;1;1;1;1331.58776650904;2;12;1;1;;;;;;;;1;5;4;1;2;2;2;2;2;2;;2;1;1;1;1;2;1;;;2
529925;237;1;1;1;2519.0076531204;1;3;1;;;;;;1;;;3;1;4;2;;;;;;2;;2;2;2;;;;;;6;2
530705;237;1;1;1;531.88129503116;1;2;1;;;;;;1;;;2;1;3;2;;;;;;2;;2;1;2;;;;;;6;2
530710;237;1;1;1;476.533294861654;1;12;1;;;;;;1;;;3;1;4;1;2;2;2;2;2;2;;2;2;2;;;;;;6;2
530794;237;1;1;1;78.0483752102112;1;8;2;;;1;;;;;;3;4;1;2;;;;;;2;2;2;2;2;;;;;;8;2
531111;237;1;1;1;68.298251515952;2;11;1;;;;;;1;;;9;3;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
532448;237;1;1;1;929.175778492419;1;9;1;;;;;;1;;;3;2;3;1;2;2;2;2;2;2;2;2;1;2;;;;;;6;2
532822;237;1;1;1;59.3520827172958;1;2;2;1;;;;;;;;9;5;3;1;2;2;2;2;2;2;2;2;2;2;;;;;;8;2
534047;237;1;1;1;1283.40175920581;1;6;1;;;;;;1;;;3;4;9;2;;;;;;2;;2;2;2;;;;;;3;2
535577;237;1;1;1;1185.3412116141;1;10;1;;;;;;1;;;1;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
535581;237;1;1;1;1127.61011538254;1;7;1;;;1;;;;;;3;2;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;1;2
535740;237;1;1;1;925.097116668623;1;6;1;;;;;;;1;;3;5;2;2;;;;;;2;;2;1;1;1;1;5;2;1;;2
535952;237;1;1;1;30.5445825768426;1;11;1;1;;;;;;;;3;3;4;2;;;;;;2;;2;2;2;;;;;;3;2
537493;237;1;1;1;2261.05782720829;1;2;1;;;;;;1;;;3;1;3;2;;;;;;2;;2;2;2;;;;;;3;2
537503;237;1;1;1;1866.60662500505;1;12;1;;;;;;1;;;3;1;4;1;2;2;2;2;2;2;;2;2;2;;;;;;3;2
537509;237;1;1;1;51.5857466154766;1;9;1;1;;;;;;;;3;3;4;1;2;2;2;2;2;2;;2;1;1;1;1;2;1;;;1
538145;237;1;1;1;53.0238305905905;1;6;1;;;;;;1;;;9;1;4;2;;;;;;2;2;2;2;2;;;;;;6;2
538817;237;1;1;1;4197.30620631125;1;1;1;;;;;;1;;;3;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
538818;237;1;1;1;4391.41740016113;1;5;1;;;1;;;;;;3;3;1;1;2;2;2;2;2;1;2;2;2;2;;;;;;4;2
538819;237;1;1;1;4278.28641858297;1;9;1;;;;;;1;;;3;2;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;4;2
538822;237;1;1;1;2055.87955591839;1;9;1;;;;;;1;;;3;2;4;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
538824;237;1;1;1;2098.45665110704;1;12;1;;;;1;;;;;3;2;1;1;2;2;2;2;2;2;2;2;2;2;;;;;;6;2
