"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
503356;237;3;1;3;975.371359616684;2;3;2;;;;;;;;120000;2;1;4;1;1;2;1;2;2;2;;2;;1;2;;;2;2;;;;;;;4;2
503360;237;2;1;2;1980.33714711627;3;3;2;;;;;;;;280000;5;1;4;1;1;2;1;2;2;2;;2;;1;2;;;2;2;;;;;;;6;2
503366;237;1;1;1;1027.54553794143;12;1;1;1;;;;;;;1500000;4;1;3;1;2;;;;;;2;2;1;2;2;1;;1;1;2;4;;2;;;;2
503377;237;1;1;1;991.05484544792;1;3;2;;;;;;;;1e+06;2;1;2;1;1;2;1;2;2;2;;2;;2;2;;;1;2;;;;;;;4;2
503378;237;1;1;1;976.258661923003;5;1;1;;;;;;;1;1200000;4;1;2;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;7;2
503400;237;1;1;1;968.733722295278;2;2;1;;;;;;;1;3e+05;3;1;4;4;;;;;;;2;2;2;1;2;1;;1;1;1;3;1;1;1;;;2
503402;237;1;1;1;972.496192109141;6;3;2;;;;;;;;4e+05;4;1;4;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
503421;237;1;1;1;983.213617740569;8;1;1;1;;;;;;;3e+05;4;1;4;3;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;4;2
503436;237;4;1;4;1134.72517816136;11;3;2;;;;;;;;7e+05;2;1;3;1;2;;;;;;;1;;1;2;;;2;2;;;;;;;1;2
503449;237;1;1;1;990.168573558135;2;1;1;1;;;;;;;1200000;5;1;3;1;2;;;;;;2;2;1;1;1;1;;1;1;1;1;1;4;2;3;;2
503457;237;1;1;1;1063.36907950439;8;1;1;;;;;;;1;7e+06;4;1;4;1;2;;;;;;1;2;2;2;2;2;;2;2;;;;;;;3;2
503469;237;1;1;1;1059.28929119436;9;3;2;;;;;;;;3e+05;1;1;3;3;2;;;;;;;2;;2;2;;;1;2;;;;;;;1;2
503492;237;1;1;1;35.2772818950185;2;1;1;;;;;;1;;1e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;1;2;2;;;;;;;4;2
503520;237;1;1;1;590.52624157832;2;1;1;;;;1;;1;;1100000;5;1;2;3;2;;;;;;2;2;2;2;2;1;;1;2;;;;;;;3;2
503549;237;1;1;1;91.478253324352;11;1;1;;1;1;;;;;8e+05;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
503605;237;1;1;1;150.706312135076;1;1;1;;1;;;;;;4e+05;5;1;3;1;2;;;;;;2;2;1;1;1;1;;2;2;;;;;;;4;2
503635;237;1;1;1;75.3531560675382;2;1;1;;1;;;;;;3e+05;5;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
503640;237;1;1;1;70.0370939718799;7;3;2;;;;;;;;270000;4;1;2;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;9;2
503642;237;1;1;1;59.8304947417043;3;1;1;;1;;;;;;98;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
503648;237;1;1;1;638.199467671099;6;1;1;;1;;;;;;2e+05;3;1;2;2;;;;;;;2;2;2;2;2;2;;2;1;1;1;1;5;2;2;;2
503671;237;2;1;2;396.939646395439;11;2;1;;1;;;;;;40000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
503675;237;4;1;4;820.506818654804;8;2;2;;;;;;;;3500000;2;1;4;1;1;2;1;2;2;2;;2;;1;2;;;1;1;1;2;2;5;1;;;1
503679;237;2;1;2;860.223528799297;8;1;1;;1;;;1;;;2e+05;2;1;1;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
503797;237;1;1;1;224.302079223807;6;1;1;;1;;;;;;70000;4;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
503800;237;1;1;1;224.302079223807;11;3;2;;;;;;;;80000;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;1
503808;237;1;1;1;336.999325196305;12;2;1;;;;;;;1;120000;5;1;3;3;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;4;2
503873;237;1;1;1;212.286354719615;11;1;1;;;;;;1;1;1800000;5;1;4;1;9;;;;;;2;2;2;2;2;1;;2;1;1;2;2;2;1;;;2
503898;237;7;2;2;36.6756035866869;12;2;2;;;;;;;;6500000;4;1;4;1;2;;;;;;;2;;1;2;;;1;1;1;2;2;6;1;;;2
503935;237;1;1;1;42.9891285334956;9;1;1;;1;1;;;;;5e+05;4;1;3;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;5;2
503936;237;1;1;1;44.9799776260259;12;2;2;;;;;;;;1500000;4;1;3;1;2;;;;;;;2;;1;2;;;1;1;1;3;1;5;1;;;2
503943;237;1;1;1;82.6367657251092;12;1;1;1;1;;;;;;1e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
