"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P566";"P1260";"P1263";"P1219S1";"P1219S2";"P1219S3";"P1219S4";"P1219S5";"P1219S6";"P1219S7";"P524";"P1252";"P1262";"P1253";"P1256";"P1247";"P1246S1";"P1246S2";"P1246S3";"P1246S5";"P1246S6";"P1232S1";"P1232S2";"P1232S3";"P1232S4";"P1232S5";"P1232S6";"P1232S7";"P1595";"P1238";"P571";"P572";"P573";"P1111";"P1596";"P1597";"P1110";"P1233"
512758;237;2;1;2;990.168573558135;8;1;1;;1;;;1;;;98;3;1;3;4;;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
512773;237;1;1;1;972.496192109141;6;1;1;;;1;;;;;1100000;3;1;2;3;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
512795;237;1;1;1;1111.46346951911;9;3;2;;;;;;;;7e+05;3;1;2;1;;;;;;;;1;;2;2;;;2;1;1;3;1;2;2;2;;2
512796;237;1;1;1;842.710197011631;5;1;1;;;;1;;;1;1200000;4;1;1;1;2;;;;;;1;2;2;1;2;1;;2;1;1;4;;5;;;;2
512800;237;1;1;1;1074.34513242502;2;1;1;;1;;;;;;1500000;4;1;2;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;3;2
512804;237;1;1;1;1001.17671324999;2;1;1;;1;;;;;;250000;2;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
512813;237;1;1;1;983.213617740569;2;1;1;;1;;;;;;7e+05;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
512813;237;2;1;2;983.213617740569;6;1;1;;1;;;;;;7e+05;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;4;2
512816;237;1;1;1;1077.90225813296;3;1;1;;1;;;;;;150000;3;1;3;1;;;;;;;2;2;2;2;1;2;;2;2;;;;;;;1;2
512831;237;1;1;1;1027.54553794143;7;1;1;;1;;;;;;6e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
512832;237;1;1;1;1091.62730015057;4;1;1;1;;;;;;;8e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;1;1;1;3;1;4;1;;;2
512843;237;1;1;1;903.143525931258;7;1;1;;1;;;;;;180000;5;1;1;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;4;2
512843;237;3;1;3;903.143525931258;3;1;1;1;;;;;;;1e+06;4;1;4;1;2;;;;;;2;2;2;1;2;1;;1;1;1;1;1;1;1;;;2
512846;237;1;1;1;990.168573558135;1;1;1;;;;;;;1;2e+05;3;1;1;6;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
512846;237;2;1;2;990.168573558135;3;1;1;;1;;;;;;1200000;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;1;1;3;1;4;1;;;1
512848;237;1;1;1;1027.54553794143;10;2;2;;;;;;;;5e+06;2;1;1;1;2;;;;;;;2;;2;2;;;1;1;2;2;1;5;1;;;1
512861;237;2;1;2;996.733315652257;5;1;1;;1;;;;;;2e+05;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
512871;237;1;1;1;1074.08650513581;11;1;1;;;;;1;;;98;3;1;3;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
512892;237;1;1;1;1545.03397977878;4;3;2;;;;;;;;3e+05;4;1;4;2;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
512938;237;2;1;2;72.7811237319609;8;1;1;;1;;;;;;2e+05;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
512940;237;5;1;5;68.7678383111455;11;1;1;1;;;;;;;1e+05;3;1;4;1;;;;;;;2;2;1;2;2;1;;2;2;;;;;;;8;2
512954;237;1;1;1;74.1657537923191;5;3;2;;;;;;;;7e+05;2;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;6;2
512963;237;3;1;3;75.4771799741095;7;1;1;;1;;;;;;5e+05;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
512997;237;2;1;2;70.5460261004796;1;1;1;;;;;1;1;;3e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
512999;237;1;1;1;58.1646804420766;11;1;1;;;;;1;;;150000;4;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
513029;237;2;1;2;69.643536242904;11;2;1;;1;;;;;;20000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
513040;237;1;1;1;75.3531560675382;3;1;1;;1;;;;;;50000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
513046;237;1;1;1;69.0804456453303;10;1;1;;1;;;;;;8e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513059;237;1;1;1;71.1091166980533;5;1;1;;;;;;1;;4e+05;5;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
513072;237;1;1;1;1308.61902454475;10;2;1;;1;;;;;;30000;3;1;4;1;;;;;;;2;2;2;2;2;2;2;2;2;;;;;;;5;2
513090;237;1;1;1;2043.37465498756;5;2;2;;;;;;;;5e+06;4;1;4;1;2;;;;;;;2;;2;2;;2;2;1;1;1;1;5;1;;;1
513158;237;2;1;2;79.4518996757474;6;2;2;;;;;;;;3e+06;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;9;1
513218;237;1;1;1;115.660557678616;8;1;1;;;;1;;;;2e+06;5;1;1;1;2;;;;;;2;2;1;2;2;2;;1;1;1;3;1;5;1;;;2
513302;237;1;1;1;143.725762029081;9;2;1;;;1;;;;;20000;4;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513303;237;1;1;1;93.5499212188046;1;1;2;;;;;;;;99;4;1;3;1;2;;;;;;;2;;2;2;;;1;2;;;;;;;6;2
513309;237;3;1;3;100.66758514259;3;3;2;;;;;;;;180000;4;1;1;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
513322;237;1;1;1;105.282573904331;9;1;1;;;;1;;;;550000;5;1;1;2;2;;;;;;2;2;2;2;2;2;;1;2;;;;;;;7;2
513324;237;3;1;3;111.017935955903;2;2;1;;1;1;;;;;50000;4;1;3;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513334;237;2;1;2;83.4767828683528;11;1;1;;1;;;;;;1e+05;4;1;3;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513369;237;2;1;2;122.015350932235;11;3;2;;;;;;;;2e+05;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;5;2
513401;237;1;1;1;116.183104751317;11;1;1;;1;;;;;;180000;3;1;2;4;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513498;237;1;1;1;193.629402510043;7;1;1;;1;;;;;;6e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513505;237;4;1;4;207.176842466183;7;3;2;;;;;;;;120000;4;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
513513;237;1;1;1;254.97475593757;9;1;1;;1;;;;;;3e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
513515;237;1;1;1;300.321289495742;9;2;1;;1;;;;;;80000;4;1;4;2;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;9;1
513521;237;1;1;1;249.160087924266;11;1;1;;1;;;;;;150000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
513524;237;1;1;1;280.856311561282;9;1;1;;;;1;;;;350000;4;1;4;2;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;5;2
513534;237;1;1;1;332.619578150619;2;1;1;;1;1;;1;;;5e+05;5;1;3;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
513536;237;1;1;1;206.888181771821;7;1;1;;1;;;;;;120000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513540;237;3;1;3;228.267432341757;5;1;1;;1;;;;;;5e+05;5;1;4;1;2;;;;;;2;2;2;2;2;1;;2;1;1;4;;4;;;;2
513543;237;4;1;4;252.377407716186;11;1;1;;1;;;;;;6e+05;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513550;237;2;1;2;264.474920407437;5;1;1;;1;;;;;;1600000;5;1;4;3;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513581;237;1;1;1;552.130691626288;6;1;1;;;;;;;1;120000;4;1;2;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;7;2
513607;237;1;1;1;224.302079223807;6;2;1;;;;;;;1;150000;5;1;1;4;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;2;1
513615;237;2;1;2;424.977114850505;10;1;1;;1;;;;;;2e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513618;237;1;1;1;535.815914475458;12;1;1;;1;;;;;;1e+05;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513639;237;1;1;1;82.452846653392;7;1;1;;1;;;;;;1e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513661;237;1;1;1;43.7378765556192;4;1;1;;1;;;;;;130000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513676;237;1;1;1;41.226423326696;12;1;1;;1;;;;;;120000;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
513683;237;1;1;1;39.5162734134292;11;1;1;;1;;;;;;7e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
513688;237;2;1;2;76.7530824929038;3;3;2;;;;;;;;2e+06;4;1;9;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
513694;237;3;1;3;44.3654557221925;3;2;2;;;;;;;;9e+06;2;1;3;1;1;1;2;2;2;2;;2;;2;2;;;1;1;1;1;1;5;1;;;1
513701;237;1;1;1;34.9036861263855;8;1;1;;1;;;1;;;250000;4;1;2;2;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;6;2
513773;237;1;1;1;471.782680708131;1;1;1;;;;;;1;;3e+05;4;1;3;5;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
513821;237;1;1;1;389.557234866369;6;2;2;;;;;;;;3500000;2;1;3;5;1;1;2;2;2;2;;2;;2;2;;2;2;2;;;;;;;1;2
513831;237;1;1;1;1710.08617288091;2;2;1;;1;;;;;;40000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513836;237;1;1;1;1745.3672481477;1;1;1;;;;;1;1;;1e+06;5;1;4;1;2;;;;;;2;2;2;2;2;1;;2;1;1;3;1;2;2;4;;2
513880;237;1;1;1;54.5304424212139;3;1;1;;1;;;;;;3e+05;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
513904;237;5;1;5;61.2835977003359;2;2;1;;1;;;;;;30000;4;1;4;1;2;;;;;;2;2;2;1;2;2;;2;2;;;;;;;5;2
513927;237;3;1;3;55.9303492745663;6;2;1;;1;;;;;;50000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
513992;237;1;1;1;67.3740400452315;11;1;1;;;;;1;;;50000;4;1;3;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
514005;237;2;1;2;66.2954082063465;2;2;1;;1;;;;;;30000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
514041;237;1;1;1;112.634926950589;9;1;1;;1;;;;;;5e+05;5;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
514204;237;1;1;1;65.1154396325777;7;1;1;;1;;;;;;220000;4;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
514274;237;2;1;2;60.9960879877301;10;1;1;;1;;;;;;5e+05;3;1;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;1;2
514324;237;4;1;4;530.976196343315;8;3;2;;;;;;;;1100000;2;1;3;1;2;;;;;;;2;;2;2;;;2;1;1;3;1;5;1;;;2
514379;237;5;1;5;303.622359505319;5;1;1;;;;;;;1;99;4;1;3;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
514386;237;3;1;3;323.52597909971;12;1;1;;1;;;;;;99;5;1;4;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
514405;237;1;1;1;338.192206872872;12;1;1;;;;;1;;;7e+05;4;1;1;2;2;;;;;;1;1;2;1;2;2;;1;2;;;;;;;4;2
514408;237;1;1;1;321.799028248461;5;1;1;;1;;;1;;;5e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
514409;237;1;1;1;301.155762916803;11;1;1;;1;;;;;;350000;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
514434;237;1;1;1;310.499797639047;4;1;1;;;;;;;1;1e+05;5;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
514453;237;1;1;1;284.056281405127;10;3;2;;;;;;;;5e+06;4;1;4;2;2;;;;;;;2;;2;2;;;2;1;1;2;2;5;1;;;2
514516;237;3;1;3;293.29932055856;1;2;2;;;;;;;;4e+06;2;1;3;1;1;1;2;2;2;2;;1;;1;2;;;2;1;1;1;1;2;1;;;2
514517;237;1;1;1;282.502849174159;11;2;2;;;;;;;;8e+06;2;1;4;1;1;1;2;2;2;2;;2;;2;2;;;2;2;;;;;;;9;1
514545;237;2;1;2;35.3942502249209;6;3;2;;;;;;;;3e+05;4;1;2;1;1;2;1;2;2;2;;2;;2;2;;;2;2;;;;;;;6;2
514638;237;5;1;5;853.578226901297;4;2;1;;;;;;;1;150000;4;2;1;1;2;;;;;;2;2;2;2;2;1;2;2;2;;;;;;;5;2
514726;237;1;1;1;431.175062144384;10;1;1;;1;;;;;;99;4;1;1;2;2;;;;;;2;2;2;2;2;1;;1;2;;;;;;;3;2
514928;237;3;1;3;1815.37479517425;8;2;1;;;;;1;;;25000;5;2;2;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
514952;237;1;1;1;307.011096605744;3;1;1;1;;;1;;;;250000;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515014;237;1;1;1;1104.50851370155;12;3;2;;;;;;;;50000;2;1;4;1;1;1;2;2;2;2;;2;;2;2;;;2;2;;;;;;;3;1
515015;237;2;1;2;972.496192109141;4;2;1;;1;;;;;1;5e+05;4;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;3;2
515028;237;2;1;2;958.01629666385;8;3;2;;;;;;;;7e+05;2;1;4;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
515039;237;3;1;3;931.039439415821;10;3;2;;;;;;;;3e+05;4;1;4;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;6;2
515048;237;2;1;2;1078.10760223888;6;3;2;;;;;;;;5e+05;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;5;2
515062;237;1;1;1;1138.79591194553;6;1;1;;1;;;;;;120000;3;1;1;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
515158;237;1;1;1;62.5438286753268;6;2;2;;;;;;;;4e+06;5;1;4;2;2;;;;;;;2;;2;2;;;1;1;1;3;1;5;2;3;;2
515158;237;4;1;4;62.5438286753268;5;2;1;;1;;;;;;70000;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;8;2
515164;237;3;1;3;84.1415990738252;11;1;1;;;;;1;;;80000;4;1;4;1;2;;;;;;1;2;2;2;2;2;;2;2;;;;;;;3;2
515167;237;1;1;1;56.7800503817185;3;1;1;;;;;;1;;8e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
515170;237;1;1;1;68.247255765681;2;2;2;;;;;;;;9e+06;5;1;4;1;2;;;;;;;2;;2;2;;;1;1;1;2;2;5;1;;;1
515199;237;1;1;1;75.7534428848056;4;1;1;;;;;;;1;3e+05;4;1;2;1;2;;;;;;2;2;2;2;2;1;;2;1;1;3;1;5;1;;;2
515208;237;1;1;1;74.6944203850602;3;1;1;;1;;;;;;320000;3;1;1;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
515222;237;3;1;3;55.3015429545757;3;1;1;;;;;;1;;350000;5;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515259;237;1;1;1;74.1657537923191;8;1;1;;;;;1;;;60000;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515263;237;2;1;2;56.6990999869274;11;1;1;;;;;1;;;120000;5;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
515306;237;1;1;1;2085.49012363849;10;3;2;;;;;;;;3e+05;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
515344;237;1;1;1;77.6184560468592;7;3;2;;;;;;;;2e+05;4;1;2;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
515349;237;1;1;1;73.7914341454142;5;1;1;;;;;;;1;6e+05;5;1;4;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;6;2
515407;237;1;1;1;265.914168720476;6;2;2;;;;;;;;1200000;2;1;4;5;1;2;1;2;2;2;;2;;2;2;;;2;1;1;1;1;3;2;3;;2
515513;237;1;1;1;93.5499212188046;2;1;1;;1;;;;;;150000;5;1;3;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;6;2
515526;237;1;1;1;92.3558527710635;7;1;1;;;;1;;;;3e+05;3;1;1;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515531;237;1;1;1;58.3522686645883;4;1;1;;1;1;;;;;2e+05;3;1;2;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
515540;237;1;1;1;100.091067408231;1;2;1;;;;1;;;;2e+05;3;1;2;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
515541;237;2;1;2;132.397467486239;3;1;1;;1;;;;;;80000;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;1;1;1;1;1;1;;;2
515546;237;1;1;1;89.2168742619304;10;1;1;;1;;;;;;240000;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
515548;237;1;1;1;70.997047992989;3;1;1;;1;;;;;;1e+05;3;1;4;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515550;237;2;1;2;95.9944019934895;12;1;1;;1;;;;;;120000;4;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
515551;237;2;1;2;76.9092989782409;10;1;1;;1;;;;;;50000;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515552;237;1;1;1;81.0965240441265;5;1;1;;1;;;;;;120000;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
515554;237;1;1;1;285.236058606968;9;2;2;;;;;;;;6e+06;2;2;4;5;1;1;2;1;1;2;;2;;1;2;;;1;1;1;2;2;1;1;;;2
515561;237;1;1;1;349.812656880533;10;1;1;;;;;1;;;4e+05;4;1;4;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;5;2
515568;237;2;1;2;250.981397369468;1;1;1;;1;1;;;;;450000;3;1;2;4;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515579;237;1;1;1;270.675976898325;2;1;1;;1;;;;;;350000;3;1;3;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
515583;237;1;1;1;270.675976898325;2;1;1;;1;;;;;;6e+05;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
515584;237;1;1;1;239.787623644283;6;1;1;;1;;;;;;150000;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515589;237;1;1;1;349.812656880533;9;1;1;;1;;;;;;2e+05;5;1;4;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
515597;237;1;1;1;224.302079223807;10;1;1;;1;;;;;;290000;4;1;2;3;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
515620;237;2;1;2;1301.26477714762;10;3;2;;;;;;;;150000;2;1;2;1;1;2;1;2;2;2;;2;;2;2;;;2;2;;;;;;;3;2
515635;237;2;1;2;1008.97638431359;6;3;2;;;;;;;;150000;2;1;3;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;3;2
515636;237;1;1;1;772.181387532192;10;2;1;;;;;;;1;10000;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515677;237;1;1;1;43.0313951159272;7;1;1;;1;;;;;;1e+05;4;1;4;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
515699;237;1;1;1;41.226423326696;2;1;1;;;;;1;;;40000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;5;2
515709;237;1;1;1;38.650261650024;8;1;1;1;;;;;;;320000;4;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;7;2
515714;237;3;1;3;39.5997818132988;6;1;1;;;;;;;1;150000;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;4;2
515766;237;1;1;1;1418.36210535132;6;2;2;;;;;;;;3600000;2;1;3;1;1;1;2;2;2;2;;1;;2;2;;2;2;2;;;;;;;3;1
515796;237;3;1;3;54.6413965191445;10;1;1;;;;;1;;;45000;4;1;2;2;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
515828;237;1;1;1;67.1210972789062;6;1;1;;;;;;;1;7e+05;4;1;1;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;7;2
515832;237;2;1;2;61.470246227771;2;2;1;;1;;;;;;70000;5;1;2;4;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;6;2
515909;237;2;1;2;68.5183577674461;1;1;1;;1;;;;;;2e+07;5;1;3;1;2;;;;;;2;2;1;2;2;2;;2;2;;;;;;;3;2
515924;237;2;1;2;76.8619614826724;9;1;1;;;;;;1;;3e+05;5;1;4;1;2;;;;;;2;2;1;2;2;1;;2;2;;;;;;;3;2
515934;237;2;1;2;56.0143619090092;12;1;1;;1;;;;;;3e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;3;2
515962;237;1;1;1;52.3212666992465;8;1;1;;1;;;;;;5e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
515984;237;2;1;2;48.1848837595643;4;2;1;;1;;;;;;70000;2;1;3;1;2;;;;;;2;2;2;1;2;1;;2;2;;;;;;;7;2
515990;237;1;1;1;56.2876347481069;5;1;1;;1;;;;;;3e+05;4;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
516017;237;1;1;1;64.3434916788938;8;3;2;;;;;;;;3e+05;2;1;3;5;1;2;2;2;1;2;;2;;1;2;;;2;1;2;3;1;2;1;;;1
516068;237;1;1;1;65.115191692981;12;1;1;;;;;;;1;150000;5;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;7;2
516079;237;1;1;1;67.5253434261532;3;3;2;;;;;;;;5500000;2;2;1;5;2;;;;;;;2;;2;2;;2;2;2;;;;;;;3;2
516136;237;2;1;2;325.78108880424;6;1;1;;1;;;1;;;1e+06;6;1;1;2;2;;;;;;2;2;2;2;2;2;;2;1;1;1;1;4;2;3;;2
516326;237;1;1;1;45.5866552943701;6;1;1;;1;;;;;;5e+05;4;1;3;1;2;;;;;;1;2;2;2;2;2;;2;2;;;;;;;6;2
516439;237;1;1;1;123.490678535198;12;3;2;;;;;;;;8e+05;6;1;3;4;2;;;;;;;2;;2;2;;;1;1;1;1;1;4;1;;;2
516476;237;1;1;1;121.386238177818;10;1;1;;1;;;;;;80000;5;1;3;2;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
516561;237;1;1;1;123.026509434576;9;3;2;;;;;;;;3e+05;2;1;4;1;2;;;;;;;1;;2;2;;;2;2;;;;;;;1;2
516565;237;1;1;1;108.237480267757;8;2;2;;;;;;;;3e+06;2;1;3;1;2;;;;;;;2;;1;2;;;2;2;;;;;;;3;2
516694;237;2;1;2;282.960816009413;9;1;2;;;;;;;;1.2e+07;2;1;3;1;2;;;;;;;2;;2;2;;;1;1;1;2;2;1;1;;;2
516701;237;1;1;1;398.209740953248;2;1;2;;;;;;;;12500000;3;1;4;2;;;;;;;;2;;2;2;;;2;1;1;4;;2;;;;2
516716;237;1;1;1;477.511157758276;12;1;1;;;;1;1;;;1e+06;3;1;1;1;;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
516806;237;3;1;3;80.6303654267357;12;2;2;;;;;;;;99;2;1;1;1;1;1;2;2;2;2;;2;;1;2;;;1;1;1;4;;5;;;;1
517042;237;2;1;2;996.733315652257;7;3;2;;;;;;;;5e+05;3;1;3;1;;;;;;;;1;;2;2;;;2;1;1;4;;1;;;;2
517045;237;1;1;1;1043.869840676;2;1;2;;;;;;;;99;4;1;3;1;2;;;;;;;2;;2;2;;;2;1;2;3;1;5;1;;;2
517052;237;2;1;2;979.451147926706;3;3;2;;;;;;;;5e+05;2;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;4;2
517059;237;2;1;2;1097.55355788398;9;3;2;;;;;;;;7e+05;4;1;3;1;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
517062;237;2;1;2;1001.17671324999;6;1;1;;;1;;;;;2e+05;4;1;3;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
517105;237;1;1;1;1168.98048963413;11;1;1;;;;;;;1;250000;4;1;1;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;6;2
517150;237;2;1;2;68.6868879163544;7;1;1;;1;;;;;;50000;2;2;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;5;2
517193;237;2;1;2;69.0804456453303;8;2;1;;1;;;;;;70000;5;1;3;1;2;;;;;;2;2;2;2;2;1;;2;2;;;;;;;6;2
517199;237;1;1;1;74.9595983385623;11;1;1;;1;;;;;;6e+05;3;1;4;1;;;;;;;2;2;2;2;2;1;;2;2;;;;;;;7;2
517204;237;1;1;1;69.3586238252604;2;1;1;;;;;1;;;150000;5;1;4;3;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;4;2
517248;237;1;1;1;64.5188827625092;6;1;1;;1;;;;;;1e+05;4;1;4;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;3;2
517262;237;1;1;1;62.9718104091353;9;3;2;;;;;;;;3e+05;4;1;2;2;2;;;;;;;2;;2;2;;;2;2;;;;;;;3;2
517267;237;1;1;1;75.9162466651119;7;2;2;;;;;;;;7800000;3;1;3;1;;;;;;;;1;;2;2;;;1;1;1;2;2;3;2;2;;2
517273;237;1;1;1;72.7811237319609;7;1;1;1;1;1;;;;;2e+06;3;1;4;1;;;;;;;2;2;1;2;2;1;;1;1;1;2;2;2;1;;;2
517330;237;1;1;1;90.3640994022227;8;2;1;;1;;;;;;50000;4;1;2;1;2;;;;;;2;2;2;2;2;2;;1;1;1;4;;1;;;;2
517342;237;1;1;1;74.9387153590831;9;1;1;;;;;;1;;5e+05;4;1;2;1;2;;;;;;2;2;2;2;2;2;;2;2;;;;;;;7;2
