"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"P587";"P1313";"P1311";"P1308";"P588";"P1306";"P1226S1";"P1226S2";"P1225";"P1298";"P1297";"P1601";"P1294";"P589";"P590";"P1112";"P1602";"P1603";"P1227"
505014;237;1;1;1;979.451147926706;"2";1;2;4;1;1;2;1;5;1;5;1;1;4;4;2;2;3;
505020;237;1;1;1;801.437041087569;"6";1;2;3;1;2;;;2;1;4;1;1;3;3;2;2;5;
505061;237;3;1;3;1151.04948089593;"1";1;7;1;1;2;;;6;1;3;2;1;1;1;4;2;1;
505105;237;4;1;4;45.6817559572012;"3";1;7;3;1;2;;;6;2;;2;2;;;;;;6
505167;237;2;2;1;542.410810137242;"1";1;7;2;1;2;;;2;2;;2;1;1;1;1;2;2;
505171;237;1;1;1;548.63578681864;"11";1;2;2;1;1;2;2;6;2;;2;2;;;;;;6
505206;237;1;1;1;80.1200845048115;"4";1;2;1;1;1;2;2;2;1;3;2;1;2;2;2;1;;
505366;237;1;1;1;254.97475593757;"12";1;6;4;1;2;;;7;1;2;2;2;;;;;;3
505408;237;2;1;2;329.099672610219;"12";1;3;3;2;2;;;2;1;3;1;1;1;1;4;2;2;
505517;237;3;1;3;61.5502702167535;"11";1;7;2;1;2;;;6;1;3;2;2;;;;;;6
505554;237;3;1;3;67.6643849507507;"6";1;7;4;3;1;2;2;6;2;;2;1;1;1;5;2;2;
505723;237;1;1;1;884.603206964826;"11";1;3;2;7;2;;;6;1;4;2;2;;;;;;2
505724;237;2;1;2;519.919172461981;"12";1;9;1;5;2;;;6;1;4;2;2;;;;;;3
505857;237;2;1;2;412.417984384252;"11";1;7;4;1;2;;;6;1;1;2;2;;;;;;5
506329;237;1;1;1;334.115341984475;"2";1;2;3;8;2;;;2;1;3;1;1;1;2;2;2;1;
506333;237;1;1;1;418.337140123227;"6";1;2;4;1;1;2;2;6;1;1;2;2;;;;;;5
506446;237;1;1;1;118.498816835086;"12";1;2;1;7;1;2;1;6;1;4;2;2;;;;;;4
506570;237;1;1;1;387.681460620576;"12";1;2;4;2;2;;;6;1;3;2;2;;;;;;6
506761;237;1;1;1;62.4834774720727;"11";1;2;3;8;1;2;1;2;1;1;1;1;3;3;3;2;5;
506800;237;1;1;1;64.1592126843544;"9";1;7;3;1;2;;;6;2;;2;1;1;2;1;2;3;
506870;237;1;1;1;66.1032051639122;"12";1;7;3;3;2;;;6;2;;2;1;3;1;2;1;;
506878;237;1;1;1;59.3520827172958;"11";1;7;4;1;2;;;6;2;;2;2;;;;;;6
506920;237;1;1;1;74.1657537923191;"12";1;1;4;3;1;2;2;6;2;;2;2;;;;;;7
507012;237;2;1;2;86.7127459853367;"1";1;2;4;2;2;;;2;1;1;1;1;1;1;4;1;;
507054;237;1;1;1;96.8068345241468;"8";2;6;4;3;2;;;6;2;;2;2;;;;;;6
507188;237;2;1;2;268.854667453123;"12";1;3;4;2;2;;;6;2;;2;2;;;;;;3
507222;237;3;1;3;458.158239835652;"12";1;7;3;1;2;;;6;2;;2;2;;;;;;6
507239;237;1;1;1;705.936691853931;"12";1;2;2;1;2;;;2;1;3;2;1;2;2;2;1;;
507320;237;1;1;1;41.088817615471;"12";1;1;4;3;2;;;3;2;;2;2;;;;;;1
507454;237;1;1;1;64.6521628557218;"9";1;7;4;3;1;1;2;2;1;3;2;1;3;3;2;1;;
507454;237;3;1;3;64.6521628557218;"9";1;7;4;2;1;1;2;2;1;3;2;1;3;3;2;1;;
507582;237;1;1;1;61.5228395238916;"11";1;1;4;1;2;;;3;2;;2;2;;;;;;8
507592;237;1;1;1;63.8858762654755;"4";1;7;3;1;2;;;6;2;;2;2;;;;;;1
507675;237;1;1;1;580.532092742294;"8";1;5;1;2;2;;;2;2;;1;1;1;2;1;1;;
507697;237;1;1;1;312.486881192109;"1";1;4;3;1;2;;;6;1;1;2;2;;;;;;6
507749;237;8;2;2;267.130921100422;"12";1;2;4;7;2;;;6;1;1;2;2;;;;;;6
508079;237;4;1;4;1211.30321329926;"11";2;1;3;2;2;;;6;1;2;2;2;;;;;;8
508276;237;1;1;1;182.037003785239;"11";1;4;2;2;2;;;6;1;1;2;2;;;;;;6
508365;237;1;1;1;1602.83759523229;"3";1;2;3;1;2;;;6;1;3;2;1;1;1;4;2;1;
508465;237;1;1;1;399.411580061785;"10";1;5;2;1;1;2;2;6;1;4;2;2;;;;;;3
508492;237;1;1;1;971.893378795103;"12";1;2;3;4;2;;;6;1;3;2;2;;;;;;3
