"DIRECTORIO";"NRO_ENCUESTA";"SECUENCIA_ENCUESTA";"SECUENCIA_P";"ORDEN";"FEX_C";"DEPMUNI";"CIUDADES28";"CLASE";"P1987";"P1988";"P1988S1";"P1989";"P1990"
501549;235;1;1;1;429.458201353059;"00000";"1";"Cabecera";2;1;3;2;1
501550;235;1;1;1;395.925187529925;"00000";"1";"Cabecera";2;1;3;2;1
501551;235;1;1;1;504.88374941206;"00000";"1";"Cabecera";2;1;3;2;1
501552;235;1;1;1;493.281625364781;"00000";"1";"Cabecera";1;1;3;1;1
501553;235;1;1;1;520.230378898938;"00000";"1";"Cabecera";1;1;3;1;1
501554;235;1;1;1;511.837592605106;"00000";"1";"Cabecera";1;1;3;1;1
501555;235;1;1;1;398.915998699052;"00000";"1";"Cabecera";1;1;3;1;1
501556;235;1;1;1;414.756799410358;"00000";"1";"Cabecera";2;1;3;3;1
501557;235;1;1;1;445.192532273336;"00000";"1";"Cabecera";1;1;3;1;1
501558;235;1;1;1;448.808455522044;"00000";"1";"Cabecera";2;1;3;1;1
501559;235;1;1;1;437.637922852988;"00000";"1";"Cabecera";2;1;3;2;1
501560;235;1;1;1;549.572570434555;"00000";"1";"Cabecera";2;1;1;2;1
501561;235;1;1;1;226.852385450721;"00000";"1";"Cabecera";2;1;1;3;1
501562;235;1;1;1;393.537703189875;"00000";"1";"Cabecera";1;1;1;1;1
501563;235;1;1;1;355.861403905331;"00000";"1";"Cabecera";1;1;1;1;1
501564;235;1;1;1;203.430941120553;"00000";"1";"Cabecera";1;1;1;3;1
501565;235;1;1;1;328.775155391736;"00000";"1";"Cabecera";1;1;1;1;1
501566;235;1;1;1;429.189172029339;"00000";"1";"Cabecera";2;1;1;3;1
501567;235;1;1;1;374.786882973381;"00000";"1";"Cabecera";1;1;3;1;1
501568;235;1;1;1;404.071990985467;"00000";"1";"Cabecera";1;1;1;1;1
501569;235;1;1;1;557.95215458459;"00000";"1";"Cabecera";1;1;1;2;1
501570;235;1;1;1;184.248756218905;"00000";"1";"Cabecera";1;1;1;1;1
501571;235;1;1;1;184.248756218905;"00000";"1";"Cabecera";1;1;1;1;1
501572;235;1;1;1;334.277996158863;"00000";"1";"Cabecera";1;1;1;2;1
501573;235;1;1;1;374.361703669799;"00000";"1";"Cabecera";1;1;1;1;1
501574;235;1;1;1;642.368764115056;"00000";"1";"Cabecera";1;1;1;1;1
501575;235;1;1;1;437.349941474884;"00000";"1";"Cabecera";1;1;1;2;1
501577;235;1;1;1;470.36441426877;"00000";"1";"Cabecera";1;1;2;2;1
501578;235;1;1;1;545.539248128774;"00000";"1";"Cabecera";1;1;2;2;2
501579;235;1;1;1;662.590340080851;"00000";"1";"Cabecera";1;1;2;1;1
501580;235;1;1;1;460.133216887375;"00000";"1";"Cabecera";2;1;3;2;1
501582;235;1;1;1;533.716665351287;"00000";"1";"Cabecera";1;1;3;2;1
501583;235;1;1;1;393.746956769086;"00000";"1";"Cabecera";1;1;3;2;1
501584;235;1;1;1;553.896556177542;"00000";"1";"Cabecera";1;1;3;1;1
501585;235;1;1;1;571.173455042027;"00000";"1";"Cabecera";1;1;3;1;1
501586;235;1;1;1;460.133216887375;"00000";"1";"Cabecera";1;1;3;2;1
501587;235;1;1;1;662.590340080851;"00000";"1";"Cabecera";1;1;3;1;1
501588;235;1;1;1;59.3520827172958;"50001";"1";"Cabecera";1;1;4;1;1
501589;235;1;1;1;59.3520827172958;"50001";"1";"Cabecera";1;1;4;1;1
501591;235;1;1;1;69.0804456453303;"50001";"1";"Cabecera";2;1;2;2;1
501592;235;1;1;1;67.0598534904618;"50001";"1";"Cabecera";2;1;2;2;1
501593;235;1;1;1;60.145927263539;"50001";"1";"Cabecera";1;1;4;1;1
501594;235;1;1;1;59.9114451364954;"50001";"1";"Cabecera";1;1;1;2;1
501595;235;1;1;1;68.6868879163544;"50001";"1";"Cabecera";2;1;2;2;1
501596;235;1;1;1;68.247255765681;"50001";"1";"Cabecera";1;1;4;3;1
501597;235;1;1;1;66.8970497101555;"50001";"1";"Cabecera";2;1;2;1;1
501598;235;1;1;1;68.247255765681;"50001";"1";"Cabecera";2;1;4;2;1
501599;235;1;1;1;72.9476556906414;"50001";"1";"Cabecera";2;1;2;1;1
501600;235;1;1;1;74.9595983385623;"50001";"1";"Cabecera";2;1;2;2;1
501601;235;1;1;1;73.5749682782042;"50001";"1";"Cabecera";2;1;1;2;1
501602;235;1;1;1;69.8872904180015;"50001";"1";"Cabecera";1;1;4;2;1
501603;235;1;1;1;61.7844081339161;"50001";"1";"Cabecera";1;1;4;1;1
501604;235;1;1;1;61.5871803487771;"50001";"1";"Cabecera";1;1;3;4;1
501605;235;1;1;1;60.3087310438454;"50001";"1";"Cabecera";1;1;3;1;1
501606;235;1;1;1;76.1470006137815;"50001";"1";"Cabecera";1;1;4;1;1
